product_id,product_name,aisle_id,department_id
304,Dry Roasted Pistachios,117,19
305,Wild Forest Raw Neem Honey,29,13
306,Gold Potatoes,83,4
307,Precious Mozzarella Cheese,21,16
308,Advanced Haircare Color Vibrancy Nourishing Shampoo,22,11
309,Graduates Lil' Entrees Spiral Pasta In Turkey Meat Sauce With Green & Yellow Beans,92,18
310,"Crackers, Puffed, Corn, Quinoa & Sesame",78,19
311,Naturals Savory Turkey Breakfast Sausage,52,1
312,Juicing Carrots,83,4
313,Peppermint/Banana Split Variety Pack Frozen Dairy Dessert Cones,37,1
314,Extra Whitening Multi-Benefit Fluoride Toothpaste,20,11
315,Creamy Italian Dressing Marinade,89,13
316,Revive Anti-Perspirant Deodorant,80,11
317,Best Grains Honey & Crunch Oat Bread,112,3
318,Apple Cinnamon Crisp Candle,101,17
319,Steamfresh Chef's Favorites Lightly Sauced Roasted Red Potatoes & Green Beans,116,1
320,"Glycerine Soap, Pure and Natural, Cucumber",25,11
321,Echinacea Goldenseal Alcohol Free Extract,47,11
322,Brooklyn Pizza Dough,79,1
323,Natural Food Color Packets,17,13
324,Strong & Kind Roasted Jalapeno Almond Protein Bar,3,19
325,Veggie-Style Mini Corn Dogs,42,1
326,Deluxe Sauce Made with 2% Milk Cheese Macaroni & Cheese Dinner,4,9
327,"Green Peas, Organic, Petite",116,1
328,Disinfectant Spray Cherry Blossom & Pomegranate Scent,101,17
329,Organic Whole Grassmilk Milk,84,16
330,Chilpotles in Adobo Sauce,30,6
331,Organic Lemon Gingersnap,61,19
332,Raspberry Fig Bars,3,19
333,Basil Daly Bar Soap,25,11
334,Sparkling Raspberry Lemonade Water Beverage,115,7
335,Blueberry Kombucha,31,7
336,Black Currant Kombucha,31,7
337,"Soap, Pure-Castile, 18-in-1 Hemp, Lavender",25,11
338,Yahrzeit Light Memorial Candle,33,6
339,Creamline Yogurt Wild Blueberry,120,16
340,Eco-Pac Kamut Puffs Cereal,121,14
341,Cheese Creations Four Cheese Cheese Sauce,9,9
342,"Complete Health Deboned Chicken, Chicken Meal and Rice Cat Food",41,8
343,Organic Whole Peeled Baby Carrots,123,4
344,Lime Sherbet,37,1
345,Extra Strength Berry,64,7
346,Sunflower Bread,112,3
347,"Vegetable Salad Kit, Sweet Kale",123,4
348,Super Slimming Herbal Tea,94,7
349,Organic Granulated Tapioca,17,13
350,Mixed 12 Pack Lion's Share Ale,27,5
351,Go Fresh Nutrium Moisture Body Wash Blue Fig & Orange Blossom Scent,127,11
352,Colby Jack & Mild Cheddar Combo Pack,21,16
353,Tzatziki Greek Yogurt Dip,67,20
354,Twist n Loc Small Round Containers + Lids,85,17
355,Ground Flaxseed With Mixed Berries,117,19
356,Ristorante Pizza Spinaci Thin Crust Pizza,79,1
357,White Writing Gel,97,13
358,Frozen All Butter Pound Cake,119,1
359,Deli Thin-Sliced Honey Ham,96,20
360,Whole Wheat Spanakopita,129,1
361,Day and Night Multi-Symptom and Severe Cold & Cough Pain Reliever/Fever Reducer,11,11
362,Pound Cake Cake Mix,105,13
363,Water Crackers Original All Natural,78,19
364,Greener Selection Salad,123,4
365,Cheerios Cereal,121,14
366,Vitamin C 1000 Mg Tropical Drink Mix Dietary Supplement,47,11
367,Ultimate Omega 1000 mg Lemon Soft Gels,47,11
368,Fabric Softener Dryer Sheet Free & Gentle 200CT Fabric Enhancers,75,17
369,New Mexico Chili,30,6
370,Chocolate Caramel Whey Protein Bar,3,19
371,Juniper Berry Soda,77,7
372,Moisture Rich Sweet Orange & Argan Conditioner,22,11
373,Honey Glazed Carrots,116,1
374,Sliced Kosher Salami,96,20
375,Multigrain Spaghetti Style Pasta,131,9
376,Even & Bright Pink Lemon and Mandarin Orange Body Wash,127,11
377,Chunky Beef with Vegetables & Brown Rice Dog Food,40,8
378,Powerball Quantum Max Shine & Protect Automatic Dishwasher Detergent,74,17
379,Super Dry Beer,27,5
380,Clementine Bag,123,4
381,Toaster Pops Strawberry,52,1
382,Sugar Free Mint Patties,45,19
383,Breaded Chicken Breast Tenders,34,1
384,EverCurl Hydracharge Conditioner,22,11
385,Liquid Drink Mix Blackberry Lemonade,90,7
386,Real Chicken & Veggies Recipe Dog Food,40,8
387,Chocolate Brownie Flavor Protein Bar,3,19
388,Stove Top Stuffing Mix for Turkey,4,9
389,Mache Blend,123,4
390,Super Enzymes,47,11
391,Organic Yukon Gold Potato Bag,83,4
392,OPA Greek Yogurt Ranch Dressing,89,13
393,Phoenix Anti-Perspirant & Deodorant Stick Twin Pack,80,11
394,Aquaphor Healing Ointment,127,11
395,Sweet Cream Buttermilk Powder,17,13
396,Cashews Natural Unsalted,37,1
397,Pure Granulated Cane Sugar,17,13
398,Organic Hard Candy Blood Orange and Honey,45,19
399,Organic Strawberry Lemon-ade,31,7
400,Grass-Fed Yogurt Blueberry Cardamom,120,16
401,"Flat Floss, Antiplaque, Naturally Waxed, Spearmint",20,11
402,100% Pure Beef Homestyle Patties,34,1
403,Ultra Thin Pastrami,96,20
404,Reg; Organic Apple Cider Vinegar 16 Fl Oz,19,13
405,100% Organic Diced Tomatoes,81,15
406,Vanilla Almond Protein Bar,3,19
407,Almond Glow Almond Body Lotion/Massage Oil,109,11
408,Pink Vitamin C 1000 Mg Pink Lemonade Drink Mix,47,11
409,Original Bite Size Candies Natural & Artificial Flavors Fun Size,45,19
410,Holiday Sugar Plum Spice Herbal Tea,94,7
411,Super Plus Cardboard Applicator Unscented Tampons,126,11
412,Brazilian Keratin & Argan Oil Leave-In Conditioning & Styling Elixir,22,11
413,Dual Action Beta Immune and Anti-Oxidant Effervescent Citrus,11,11
414,Gluten Free Chicken Rustica Pizza,79,1
415,16 oz Cold Cups,111,17
416,Laundry Soil Stain Remover,75,17
417,Classics Baby Binks Easter Chocolate Bunny,100,21
418,Whole Grain Linguine Pasta,131,9
419,Light & Fit Strawberry Cheesecake Greek Nonfat Yogurt,120,16
420,International Cafe French Vanilla Mix,26,7
421,Garlic & Herb Fresh Goat Cheese,21,16
422,Mix-Up Flamin' Hot & Cheezy Mix Flavored Snack Mix,107,19
423,Red Jalapeno Caesar Dressing,89,13
424,Linguine Pasta,131,9
425,Sardines in Water Salt Added,33,6
426,2nd Foods Bananas,92,18
427,Italian Style Panko Breadcrumbs,5,13
428,Everyday Mega Pack Paper Plates,111,17
429,Dark Red Kidney Beans,59,15
430,Born Yesterday Pale Ale,27,5
431,"Ice Cream, Cookies & Cream",37,1
432,Vanilla Almond Breeze Almond Milk,91,16
433,Organic Whole Granulation Roasted Buckwheat Groats,107,19
434,Beach Sage Liquid Fabric Softener,75,17
435,Dark Chocolate Raisins,50,19
436,Petite Brussels Sprouts,116,1
437,Strawberry Cheesecake Nonfat Yogurt,100,21
438,Special K Vanilla Cappuccino Protein Breakfast Shakes,48,14
439,Crispy Cinnamon Pear Chips,50,19
440,Crossovers Olive Thyme Almond,100,21
441,Antioxidant Cranberry Body Wash,25,11
442,Sliced Chicken Entree Cat Food,41,8
443,Ultra Power Plus Laundry Detergent 54 loads,75,17
444,Special Recipe Italian Bread,112,3
445,Almond Honey Protein+ Bar,3,19
446,Blueberry Pomegranate Acaí Cultured Goat Milk Kefir,120,16
447,"Tea, Superflower, Hibiscus, Blueberry, Caffeine-Free, Bags",94,7
448,White Chicken Chili,59,15
449,Chips Ahoy! Chewy Cookies,61,19
450,Chow Mein Thin Noodles,4,9
451,"Almond Spread, Dark Chocolate",88,13
452,Sleepytime Sinus Soother Herbal Tea,94,7
453,Hummus Wrap,13,20
454,Sloppy Joe Sauce,51,13
455,Ibuprofen Liquid Gels,133,11
456,Sparkling Blueberry,77,7
457,Whole Wheat Fig Bar,48,14
458,Total Advanced Floss Tip Medium Toothbrush,20,11
459,Honey Vanilla Greek Yogurt,120,16
460,Acai Dragonfruit Melon Green Tea,94,7
461,Sore Throat Wild Cherry Lozenges,11,11
462,Fiber 4g Gummy Dietary Supplement,70,11
463,Salt Free Seasoning,104,13
464,Liquid Water Enhancer Peach Green Tea With Ginseng & Honey,90,7
465,100% Natural Just Peaches,50,19
466,Old Fashioned Vegetable Beef Soup,69,15
467,"Soup, Lower Sodium, Organic, Split Pea",69,15
468,Kabocha Squash,83,4
469,Whipping Cream,53,16
470,Lite Beer,27,5
471,Half 'n Half Lemonade Tea,94,7
472,Fancy Diced Hot Chilies,100,21
473,Plastic Measuring Cups,10,17
474,Lavender Body Wash,25,11
475,Organic Reposado Tequila,124,5
476,Chub Mackerel,95,15
477,Naturally Aged Cheddar Cheese Block Hot Habanero,21,16
478,Organic Pitted Kalamata Olives,110,13
479,Most Wanted Cabernet Sauvignon Red Wine,28,5
480,Slow Churned Mint Chocolate Chip Ice Cream,37,1
481,Black Peppercorns,104,13
482,"Gentle Clean Foaming Face Cleanser, 6.7 fl oz Female Skin Care",73,11
483,"\""Constant Comment\"" Decaffeinated Black Tea Blend",94,7
484,Plain Greek Goat Yogurt,120,16
485,Country Stew Choice Cuts In Gravy Dog Food,40,8
486,Lowfat Raspberry Kefir Probiotic Cultured Milk Smoothie,120,16
487,"Can/Bottle Opener, Chrome",10,17
488,Organic Orange Turmeric Juice,31,7
489,Dough for Turnover Pastries,58,1
490,Gin Gins Candy,45,19
491,Pompelmo Water,100,21
492,"Couscous, Israeli, Garlic Jalapeno",63,9
493,Pear and Blueberry Baby Breakfast,92,18
494,Yellow Cherry Tomato,83,4
495,Pure Cane Granulated W/Spout Sugar,17,13
496,Designer 9 Oz. Paper Cups,111,17
497,Mascarpone Pistachio Caramel Gelato,37,1
498,Daily Moisture Shampoo,22,11
499,Aspirin 325 Mg,133,11
500,Non-Scratch Scrub Sponges,114,17
501,Proactive Health Mature Adult Hairball Care Cat Food,41,8
502,"Frozen Desserts, Fit, Salted Caramel",37,1
503,Wild Rice Blend,68,10
504,Velveeta Shells & Cheese Bold Jalapeno,4,9
505,100% Natural String Cheese Mozzarella Cheese,21,16
506,Arrowroot Powder,6,2
507,Tikka Masala Curry Sauce,72,13
508,Freeze-Dried Edamame Veggie Snack,50,19
509,Starting Solids Carrots Organic Baby Food,92,18
510,Protein Blend Honey Oats & Seeds Cereal,121,14
511,Lecithin Granules Non-GMO,47,11
512,Multigrain Pop Cakes,107,19
513,Honey Maid Graham Cracker Crumbs,17,13
514,Freezer Safe Pint Jars Wide Mouth,85,17
515,Organic Lowfat Pomegranate Acai Kefir Probiotic Cultured Milk Smoothie,120,16
516,American Cheese Slices,21,16
517,French Rolls,43,3
518,Turkey Meatloaf & Mashed Potatoes,38,1
519,Antioxidant Infusions Brasilia Blueberry,31,7
520,Sweet & Smokey Kansas City Bbq Sauce,72,13
521,Daily Shower Cleaner Ylang Ylang,114,17
522,Coffee Liqueur,124,5
523,Biotin & Collagen Shampoo,22,11
524,in Gravy with Carrots Peas & Corn Mashed Potatoes & Meatloaf Nuggets,92,18
525,Good & Clean Gentle Acne Wash,109,11
526,Alcohol Free Maple Flavor,104,13
527,Invigorating Face Wash Men,73,11
528,Tasty Treasures Cat Food Variety Pack,41,8
529,Essentials Foaming Facial Cleanser,73,11
530,7UP,77,7
531,Adult Dog Formula Dog Food,40,8
532,Unsalted Pretzel Round,107,19
533,Stuffed Pasta Shells,38,1
534,"Tomato Paste with Basil, Oregano & Garlic Flavor",81,15
535,Rescue Remedy,6,2
536,Belgian Waffles,52,1
537,Kosher Dill Babies,110,13
538,Take Alongs Twist & Seal Liquid Storage,85,17
539,Tri Color Tortilla Strips,89,13
540,Beef Strips Portabella Complete Meals,38,1
541,with Dawn Action Pacs Fresh Scent Dishwasher Detergent Pacs,74,17
542,Medium to Firm Hold Hair Styling Foam,22,11
543,Rice & Bean Snack Chips With Adzuki Beans Chipotle Cheese,107,19
544,Classic Original Hummus,67,20
545,Creamy Danish Blue Cheese Wedge,21,16
546,Tomatillo Salsa,51,13
547,1000 Roses Floral Toner for Sensitive Skin,109,11
548,Hi-Chew Strawberry Fruit,66,6
549,Cranberry Almond Fruit Clusters Dried Cranberries,125,19
550,"Granola, Veritas, Organic",57,14
551,"Riesling, Mosel, 2014",62,5
552,Organic Mango Peach Carrot Kickstart Smoothie,116,1
553,BBQ Concentrate & Marinade Sauce,5,13
554,Turkey Chili,1,20
555,Even The Kitchen Sink Kitchen & Bath Scrubber,114,17
556,Bake & Break Cheese Garlic Loaf,100,21
557,Red Seedless Grapes Imported,24,4
558,Organic Raw Almond Butter,88,13
559,Cookie Chips Crunchy Dark Chocolate Chocolate Chip Cookies,61,19
560,Tea Temples Green Tea With Mint,94,7
561,Smoke Roasted Wild Sockeye Asian Sesame Salmon,15,12
562,Traditional Tartar Sauce,100,21
563,Pure Moringa Vegetable Powder,47,11
564,Embrace Sensitive Women's 5 Blade Disposable Razors,55,11
565,Light and Fluffy Blueberry Pancake Mix,130,14
566,Organic Thin Sliced 100% Whole Wheat Bread,112,3
567,Malbec Red Wine,28,5
568,Artisan Style Melts Quattro Formaggi Pizza,79,1
569,Golden Cupcakes 8 Pack,61,19
570,White Chicken Chili with Beans Pouch,59,15
571,Thin & Crispy Crust Pepperoni Pizza,79,1
572,Brown Bobby Pins,22,11
573,Red Roses,87,17
574,Crunch Vanilla Sugar Mini Cookies,61,19
575,Organic Medium Yellow Thai Curry,72,13
576,Vanilla Sugar Cookies,61,19
577,Liqui-Gels Softgels Dye-Free Allergy,11,11
578,"10\"" Bamboo Skewers",10,17
579,Stain Odor Eliminator Detergent,75,17
580,Washington State Merlot,28,5
581,Garnet Sweet Potato (Yam),83,4
582,Lite Whipped Topping,119,1
583,Vanilla Incense of Auroville,101,17
584,Organic Blueberry Pomegranate Whole Milk Yogurt,120,16
585,Pretzel Thins Parmesan Herb Crackers,78,19
586,Geranium Daily Bar Soap,25,11
587,Air Effects Gain Island Fresh,101,17
588,Special K Original Cereal,121,14
589,Salsa Roja,51,13
590,Almonds Roasted and Salted,117,19
591,Oreo Cookies and Cream Chocolate Frozen Dairy Dessert,37,1
592,SpongeBob Shapes Macaroni & Cheese Dinner,4,9
593,"Linguine, No. 6",131,9
594,Gluten Free Peanut Butter Berry Chewy With A Crunch Granola Bars,3,19
595,Injera Flat Bread,128,3
